company,city,state,industry,employees,intent topics,description,acct #
Carlinville Area Hospital,Carlinville,Illinois,Hospitals & Physicians Clinics,318,Compliance,"Carlinville Area Hospital, headquartered in Carlinville, Illinois, is a licensed 25-bed acute care hospital that provides a wide range of inpatient, outpatient and emergency services.",6832240
Catalyst Exhibits Inc.,Kenosha,Wisconsin,Business Services,131,,"Catalyst Exhibits designs and produces custom tradeshow exhibits for purchase and rental for the Consumer Electronics Show (CES). Catalyst approaches exhibiting from a marketing standpoint, and are thus able to achieve the best return on investment for our clients. We invite you to read the 2014 Trends Talk or simply scroll down to learn more about our active involvement at CES. Browse some of our work below.",19613750
CDM Media,,,,,,,
Central Bank Illinois,Geneseo,Illinois,Finance,178,Environmental Regulations,"Central Bank Illinois offers a wide range of personal and business banking services, including checking and savings accounts, loans, and credit cards. Their products cater to individuals looking for personal finance solutions as well as businesses seeking financial support and management services. The bank emphasizes community involvement and provides wealth management services to help clients achieve their financial goals. With features like mobile banking and online account opening, Central Bank Illinois aims to enhance the banking experience for its customers.",351578174
Central Illinois Trucks,Normal,Illinois,Retail,790,Generative AI; Fraud Protection; Autonomous Intelligence and Agentic AI,"Since 1975, CIT Trucks, LLC has proudly served the transportation industry. Our consolidated enterprises employ over 650 people and represent Kenworth, Volvo, Mack, Isuzu, and Autocar product lines in 15 locations serving sales territories in Illinois, Missouri, and Indiana. Additionally, the company owns subsidiaries Central Truck Leasing, a wholly-owned truck rental and leasing company, and Central Truck Finance, a wholly-owned financial services company.",354038005
Central Indiana Regional Blood Center Inc.,Milwaukee,Wisconsin,Healthcare Services,2300,External Hard Drive; Backup & Recovery Software; Digital Transformation; Generative AI; Cloud Storage; Fraud Protection; Cloud Data; Environmental Regulations; App Analytics Companies; Energy Storage; Artificial Intelligence; Cloud Computing,"Versiti, a national leader in blood health innovation, was formed with the mission to improve the health of patients and enable the success of our healthcare partners nationally. We provide innovative, value-added solutions in the fields of transfusion medicine, transplantation, and blood-related diseases to meet the needs of each of our customers. The collective efforts across Versiti result in improved patient outcomes, expanded access to care, and cost efficiencies for healthcare systems nationwide.",388096303
Central States Enterprises Co,Lake Mary,Florida,Retail,114,,"Our business philosophy, is grounded in flexibility, innovation, cooperation, partnering, and service. Though we may have our share of capital assets we see ourselves as a service based business. At Central States Enterprises we understand that our success is based on our customers success and on their growing confidence in us.",22612876
Centro,Chicago,Illinois,Software,670,,"Founded in 2001, Centro is a provider of trading and media operations software for digital advertisers. Advertisers use Centro's software, Basis, for digital media planning and buying, ad operations, and finance and reconciliation. Centro is located in Illinois.",44242592
Charleston Transitional Facility,Orland Park,Illinois,Organizations,430,,"At CTF Illinois, the company creates pathways toward independence, a higher quality of life, and economic prosperity for people with intellectual and developmental disabilities. The company's mission is to empower the people the company supports to live the life they want to live. The company believes that together, the company's Communities can Transform Futures for people with disabilities. The company believes in individuality and hands-on learning, and create person-centered plans of service for each person the company supports.",27594931
Checkmarx Inc.,Atlanta,Georgia,Software,900,Cloud Computing; End-to-End Encryption; Digital Transformation; File Sharing; Environmental Regulations; Application Performance; Energy Storage; Databases; Cyber Intelligence; Data Center Migration; Dropbox; Big Data Software; Generative AI,"Checkmarx is the global leader in software security solutions for modern enterprise software development. Checkmarx delivers the industry's most comprehensive Software Security Platform that unifies with DevOps and provides static and interactive application security testing, software composition analysis, and developer AppSec awareness and training programs to reduce and remediate risk from software vulnerabilities.",37429250
